Sr. No.,Bank Code,Bank Name,MICR,IFSC,IIN,ACH CR,ACH DR,APBS,DSA,Bank Type
15,ACUX,THE ADARSH COOPERATIVE URBAN BANK LIMITED,500229251,ICIC00ADRSH,607253,Yes,Yes,Yes,ICICI BANK LTD,Indirect
16,ADBX,THE AHMEDABAD DISTRICT CO-OPERATIVE BANK LTD,380118000,GSCB0ADC001,607811,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
17,ADCC,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK LTD,444831002,ADCC0000001,607382,Yes,Yes,Yes,THE AKOLA DISTRICT CENTRAL COOPERATIVE BANK LTD,Direct
18,ADCX,SHRI ADINATH CO-OP.BANK LTD.,416432201,HDFC0CSACBL,607668,Yes,Yes,Yes,HDFC BANK LTD,Indirect
19,ADDX,THE ADILABAD DISTRICT CO-OP CENTRAL BANK LTD.,504812502,APBL0019001,607499,Yes,Yes,Yes,TELANGANA STATE CO OP APEX BANK LTD,Indirect
20,AGCX,THE AGRASEN CO-OPERATIVE URBAN BANK LTD,500871002,HDFC0CAUB01,607666,Yes,Yes,Yes,HDFC BANK LTD,Indirect
21,AGDX,AGRA DISTRICT CO OPERATIVE BANK LTD,282461000,ICIC00AGDCB,607966,Yes,Yes,Yes,ICICI BANK LTD,Indirect
22,AGRX,AGROHA COOPERATIVE URBAN BANK LTD,500860002,KKBK0ACUB01,508812,Yes,Yes,Yes,ICICI BANK LTD,Indirect
23,AGSX,THE AGRASEN NAGARI SAHAKARI BANK LTD,444894002,HDFC0CTANSB,607683,Yes,,Yes,HDFC BANK LTD,Indirect
24,AGUX,AGARTALA COOPERATIVE URBAN BANK LIMITED,799807002,UTIB0SACUB1,NA,Yes,Yes,Yes,AXIS BANK,Indirect
25,AGVX,ASSAM GRAMIN VIKASH BANK,781116002,PUNB0RRBAGB,607064,Yes,Yes,Yes,PUNJAB NATIONAL BANK,Indirect
26,AHMX,THE AHMEDNAGAR DISTRICT CENTRAL COOP BANK LTD,414885001,ICIC00ADCCB,608021,Yes,,Yes,ICICI BANK LTD,Indirect
27,AHUX,AHILYADEVI URBAN COOPERATIVE BANK LIMITED SOLAPUR,413024252,IBKL0478ADC,990177,Yes,Yes,Yes,IDBI BANK,Indirect
28,AIRP,AIRTEL PAYMENTS BANK LIMITED,110753000,AIRP00000SC,990288,Yes,,Yes,AIRTEL PAYMENTS BANK LIMITED,Direct
29,AJKB,THE AKOLA JANATA COMMERCIAL CO-OPERATIVE BANK LTD,440364002,AKJB0000001,608013,Yes,Yes,Yes,THE AKOLA JANATA COMMERCIAL CO-OPERATIVE BANK LTD,Direct
30,AJMX,AJMER CENTRAL COOPERATIVE BANK LTD AJMER,305501000,RSCB0011099,508750,Yes,,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
31,AJPX,AMBAJOGAI PEOPLES COOP BANK LTD,431871152,HDFC0CAPCBL,508506,Yes,Yes,Yes,HDFC BANK LTD,Indirect
32,AJSX,AMBARNATH JAI-HIND CO-OP.BANK LTD.,411805002,ICIC00AJHCB,607151,Yes,Yes,Yes,ICICI BANK LTD,Indirect
33,AJUX,THE AJARA URBAN CO-OP BANK LTD BOM,400014251,NA,NA,Yes,Yes,Yes,BANK OF MAHARASHTRA,Indirect
34,AKMX,AKOLA MERCHANT COOPERATIVE BANK LTD,444893002,HDFC0CAMBLA,990209,Yes,,Yes,HDFC BANK LTD,Indirect
35,AKOX,THE AKOLA URBAN CO OPERATIVE BANK LTD,444330002,YESB0AUBHO1,607795,Yes,Yes,Yes,YES BANK,Indirect
36,ALAX,ALAVI CO OPERATIVE BANK LTD,390322002,HDFC0CALAVI,990052,Yes,Yes,Yes,HDFC BANK LTD,Indirect
37,ALIX,ALIGARH DISTRICT CO OPERATIVE BANK LTD,202803000,ICIC00AZSBL,508740,Yes,Yes,Yes,ICICI BANK LTD,Indirect
38,ALLX,ALLAHABAD DISTRICT CO OPERATIVE BANK LTD,211490002,ICIC00ALDCB,990320,Yes,Yes,Yes,YES BANK,Indirect
39,ALWX,THE ALWAR CENTRAL COOPERATIVE BANK LTD,301802002,RSCB0012001,508767,Yes,,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
40,AMAX,AMAN SAHAKARI BANK LTD,416822201,ICIC00AMSBL,508765,Yes,Yes,Yes,ICICI BANK LTD,Indirect
41,AMBX,THE AMBALA CENTRAL CO OPERATIVE BANK LTD,133804002,UTIB0ACCB01,607746,Yes,,Yes,AXIS BANK,Indirect
42,AMCB,THE AHMEDABAD MERCANTILE CO-OP BANK LTD,380066001,AMCB0RTGS4S,607148,Yes,Yes,Yes,THE AHMEDABAD MERCANTILE CO-OP BANK LTD,Direct
43,AMCX,THE AMRITSAR CENTRAL COOPERATIVE BANK LIMITED.,143333001,UTIB0SASR01,607624,Yes,Yes,Yes,AXIS BANK,Indirect
44,AMMX,ADARSH MAHILA MERCANTILE COOPERATIVE BANK LTD,251805002,HDFC0CAMMCO,NA,Yes,,Yes,IDBI BANK,Indirect
45,AMNX,ASTHA MAHILA NAGRIK SAHAKARI BANK MARYADIT,462340002,HDFC0CAMNSB,NA,Yes,Yes,Yes,IDBI BANK,Indirect
46,AMRX,AMRELI JILLA MADHYASTHA SAHAKARI BANK LTD,365801001,GSCB0AMR001,607973,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
47,AMSB,ANNASAHEB MAGAR SAHAKARI BANK MARYADIT,411164291,IBKL0250A01,607453,Yes,Yes,Yes,IDBI BANK,Indirect
48,AMSX,THE AMBIKA MAHILA SAHAKARI BANK LTD. AHMEDNAGAR,414804002,HDFC0CAMSBA,990228,Yes,Yes,Yes,YES BANK,Indirect
49,ANBX,AMRELI NAGARIK SAHAKARI BANK LTD,365802001,IBKL0697ANS,NA,Yes,,Yes,ICICI BANK LTD,Indirect
50,ANDX,ANDARSUL URBAN COOP BANK LTD. ANDARSUL,422259253,NA,NA,Yes,Yes,Yes,IDBI BANK,Indirect
51,ANMX,THE AHMEDNAGAR MERCHANT'S CO-OP BANK LTD,414803001,HDFC0CMBANK,607715,Yes,Yes,Yes,HDFC BANK LTD,Indirect
52,ANSX,ANDAMAN & NICOBAR STATE COOPERATIVE BANK LTD.,744656002,HDFC0CANSCB,607370,Yes,Yes,Yes,HDFC BANK LTD,Indirect
53,ANUX,ANURADHA URBAN CO-OPERATIVE BANK LTD,443886102,HDFC0CAUCBL,990227,Yes,,Yes,HDFC BANK LTD,Indirect
54,APBL,THE ANDHRA PRADESH STATE COOPERATIVE BANK LTD,500143002,APBL0000001,607246,Yes,Yes,Yes,THE ANDHRA PRADESH STATE COOPERATIVE BANK LTD,Direct
55,APGB,ANDHRA PRAGATHI GRAMEENA BANK,516703000,APGB0000001,607121,Yes,Yes,Yes,ANDHRA PRAGATHI GRAMEENA BANK,Direct
56,APGX,ANDHRA PRADESH GRAMEENA VIKAS BANK,500806002,APGV0000001,607198,Yes,Yes,Yes,ANDHRA PRADESH GRAMEENA VIKAS BANK,Direct
57,APJX,AP JANATA COOPERATIVE URBAN BANK LTD,500234252,HDFC0CAPJBK,990165,Yes,Yes,Yes,HDFC BANK LTD,Indirect
58,APMC,AP MAHESH COOPERATIVE BANK,500142001,APMC0000001,607051,Yes,Yes,Yes,AP MAHESH COOPERATIVE BANK,Direct
59,APMX,THE AP MAHAJAN'S COOPERATIVE URBAN BANK LTD,500015251,UTIB0SAPM01,NA,Yes,Yes,Yes,CANARA BANK,Indirect
60,APNX,APANI SAHAKARI BANK LTD,380420002,HDFC0CAPANI,990084,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
61,APRX,ARUNACHAL PRADESH RURAL BANK,791818002,SBIN0RRARGB,607216,Yes,Yes,Yes,STATE BANK OF INDIA,Indirect
62,APSX,ADARNIYA P.D. PATILSAHEB SAHAKARI BANK LTD.,415832352,HDFC0CPDPBK,607606,Yes,Yes,Yes,HDFC BANK LTD,Indirect
63,ARCX,ARUNACHAL PRADESH STATE COOPERATIVE APEX BANK LTD,791824002,YESB0ARCB01,608147,Yes,,Yes,YES BANK,Indirect
64,ARMX,510 ARMY BASE W/S CREDIT COOP PRIMARY BANK LTD,250184021,ICIC00ABWCC,990134,Yes,,Yes,ICICI BANK LTD,Indirect
65,ARYX,GRAMIN BANK OF ARYAVART,202448001,BKID0ARYAGB,508509,Yes,Yes,Yes,BANK OF INDIA,Indirect
66,ASBL,APNA SAHAKARI BANK LTD.,400098002,ASBL0000001,607101,Yes,Yes,Yes,APNA SAHAKARI BANK LTD.,Direct
67,ASBX,AHMEDNAGAR SHAHAR SAHAKARI BANK MARYADIT,414802001,SVCB0008002,508596,Yes,Yes,Yes,SVC CO OP BANK LTD,Indirect
68,ASHX,THE ASHTA PEOPLE'S CO-OP BANK LTD ASHTA,416903501,IBKL0116APC,NA,Yes,Yes,Yes,IDBI BANK,Indirect
69,ASKX,ARVIND SAHAKARI BANK LTD,444823102,SVCB0015003,508650,Yes,Yes,Yes,SVC CO OP BANK LTD,Indirect
70,ASNX,ASHOKNAGAR CO OP BANK LTD,NA,UTIB0SACBL1,990295,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
71,ASOX,THE ASSOCIATE CO OPERATIVE BANK LTD,395449000,YESB0ASCB02,607226,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
72,ASSX,ASHOK SAHAKARI BANK LTD,413909301,ICIC00ASHSB,607641,Yes,Yes,Yes,ICICI BANK LTD,Indirect
73,AUBL,AU SMALL FINANCE BANK LTD,302765000,AUBL0000001,608088,Yes,Yes,Yes,AU SMALL FINANCE BANK LTD,Direct
74,AUBX,THE ANGUL UNITED CENTRAL COOPERATIVE BANK LTD,759800102,ORCB0ANG001,NA,Yes,,Yes,THE ODISHA STATE CO OP BANK LTD,Indirect
75,AUCB,ALMORA URBAN CO-OPERATIVE BANK LTD.,263849102,AUCB0000001,607188,Yes,Yes,Yes,ALMORA URBAN CO-OPERATIVE BANK LTD.,Direct
76,AUCX,THE AJARA URBAN CO-OP. BANK LTD.,416394002,IBKL0116AUC,607367,Yes,Yes,Yes,IDBI BANK,Indirect
77,AURX,THE AURANGABAD DISTRICT CENTRAL COOP BANK. BIHAR,NA,IBKL01192AC,508674,Yes,,Yes,IDBI BANK,Indirect
78,AVDX,THE AMRAVATI DISTRICT CENTRAL CO OP BANK LTD,444802101,YESB0ADB001,607792,Yes,Yes,Yes,YES BANK,Indirect
79,AWCX,THE ALWAYE URBAN COOPERATIVE BANK LTD,682466002,FDRL0AUCB02,NA,Yes,Yes,Yes,FEDERAL BANK,Indirect
80,AZAX,THE AZAD COOP BANK LTD GADAG,582804002,UTIB0SAZADB,NA,Yes,,Yes,AXIS BANK,Indirect
81,AZPX,THE AMRAVATI ZILLA PARISHAD SHIKSHAK SAHAKARI BANK,444806000,NA,608056,Yes,,Yes,YES BANK,Indirect
82,AZSX,ALMORA ZILA SAHKARI BANK LTD,263802102,YESB0AZSB01,607343,Yes,,Yes,YES BANK,Indirect
83,AZUX,THE AZAD URBAN CO-OP BANK LTD. HUBLI,NA,IBKL0069AZB,607744,Yes,,Yes,IDBI BANK,Indirect
84,BACB,BASSEIN CATHOLIC CO-OP BANK LTD,400238002,BACB0000001,508512,Yes,Yes,Yes,BASSEIN CATHOLIC CO-OP BANK LTD,Direct
85,BACX,THE BIHAR AWAMI CO OPERATIVE BANK LTD,800830002,HDFC0CBACOB,607268,Yes,Yes,Yes,HDFC BANK LTD,Indirect
86,BADX,BANKURA DISTRICT CENTRAL COOPERATIVE BANK LTD,722809002,WBSC0BDCB01,607176,Yes,Yes,Yes,THE WEST BENGAL STATE CO OP BANK LTD,Indirect
87,BAGX,BALANGIR DISTRICT CENTRAL CO OP BANK LTD BALANGIR,NA,ORCB0BLR001,508774,Yes,,Yes,THE ODISHA STATE CO OP BANK LTD,Indirect
88,BALX,BALASINOR NAGARIK SAHAKARI BANK LTD,388807121,HDFC0CBNSBL,990023,Yes,Yes,Yes,HDFC BANK LTD,Indirect
89,BARB,BANK OF BARODA,400012001,BARB0TREASU,606985,Yes,Yes,Yes,BANK OF BARODA,Direct
90,BARC,BARCLAYS BANK PLC,400658002,BARC0INBB01,NA,Yes,Yes,,BARCLAYS BANK PLC,Direct
91,BARX,THE BARODA CITY CO OPERATIVE BANK LTD,390156006,KKBK0BCCB04,990022,Yes,Yes,Yes,HDFC BANK LTD,Indirect
92,BASX,SHRI BASAVESHWAR SAHAKARI BANK NYT.BAGALKOT,587818002,ICIC00SBSBN,607547,Yes,Yes,Yes,ICICI BANK LTD,Indirect
93,BAUX,THE BADAGARA COOPERATIVE URBAN BANK LTD,673854302,IBKL01365B1,508903,Yes,,Yes,IDBI BANK,Indirect
94,BAVX,THE BAVLA NAGRIK SAHAKARI BANK LTD,380421004,HDFC0CTBNSB,990163,Yes,Yes,Yes,HDFC BANK LTD,Indirect
95,BAWX,THE BHAWANIPATNA CENTRAL CO OP BANK LTD,NA,ORCB0BWP001,508778,Yes,,Yes,THE ODISHA STATE CO OP BANK LTD,Indirect
96,BBKM,BANK OF BAHRAIN & KUWAIT,400150002,BBKM0000001,607338,Yes,Yes,Yes,BANK OF BAHRAIN & KUWAIT,Direct
97,BBLX,BHINGAR URBAN CO-OPERATIVE BANK LTD,414805001,KKBK0BUCB01,508821,Yes,Yes,Yes,ICICI BANK LTD,Indirect
98,BBRX,THE BANGALORE BANGALORE RURAL&RAMANAGARA DCCB LTD,560226299,KSCB0002001,607907,Yes,Yes,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
99,BBSX,THE BALASORE BHADRAK CENTRAL COOPERATIVE BANK LTD,756800004,ORCB0BLS001,NA,Yes,,Yes,THE ODISHA STATE CO OP BANK LTD,Indirect
100,BBUX,BELLAD BAGEWADI URBAN SOUHARADA SAHAKARI BANK NYT,591852501,IBKL0101BBU,608378,Yes,,Yes,IDBI BANK,Indirect
101,BBVX,THE BHABHAR VIBHAG NAGRIK SAHAKARI BANK LTD,385806501,HDFC0CBVNSB,NA,Yes,,Yes,HDFC BANK LTD,Indirect
102,BCBM,THE BHARAT CO-OPERATIVE BANK LTD,400112001,BCBM0000001,607339,Yes,Yes,Yes,THE BHARAT CO-OPERATIVE BANK LTD,Direct
103,BCBX,THE BANTRA CO-OPERATIVE BANK LTD,700101002,HDFC0CBCBBK,508688,Yes,Yes,Yes,HDFC BANK LTD,Indirect
104,BCCB,THE BANGALORE CITY CO-OPERATIVE BANK LIMITED,560225000,INDB0BCCB02,607958,Yes,Yes,Yes,INDUSIND BANK,Indirect
105,BCCX,THE BATHINDA CENTRAL CO-OPERATIVE BANK LTD.,151813002,UTIB0SBCB01,607563,Yes,Yes,Yes,AXIS BANK,Indirect
106,BCEX,THE BANSWARA CENTRAL CO OPERATIVE BANK LTD,327815000,RSCB0013099,508697,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
107,BCEY,BANK OF CEYLON,600331001,BCEY0CHEN01,607244,Yes,Yes,Yes,BANK OF CEYLON,Direct
108,BCOX,BAPUJI CO OP BANK LTD,577808000,IBKL0364BCB,508843,Yes,,Yes,IDBI BANK,Indirect
109,BCUB,THE BICHOLIM URBAN CO-OPERATIVE BANK LTD,403413000,HDFC0CBUCBG,607108,Yes,Yes,Yes,HDFC BANK LTD,Indirect
110,BCUX,THE BAGHAT URBAN CO-OP BANK LTD,173825002,IBKL0773BCB,607542,Yes,,Yes,IDBI BANK,Indirect
111,BDBB,BAHRAICH DISTRICT CO OPERATIVE BANK LTD BAHRAICH,271804002,ICIC00BAHDC,990316,Yes,,Yes,ICICI BANK LTD,Indirect
112,BDBL,BANDHAN BANK LIMITED,400750000,BDBL0000001,508753,Yes,Yes,Yes,BANDHAN BANK LIMITED,Direct
113,BDBX,THE BELLARY DISTRICT COOP CENTRAL BANK LTD,583801517,IBKL0103925,508819,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
114,BDCX,THE BIJAPUR DISTRICT CENTRAL CO-OP BANK,NA,KSCB0014001,607774,Yes,,Yes,THE KARNATAKA STATE CO OP APEX BANK LTD,Indirect
115,BDDX,BHADRADRI COOPERATIVE URBAN BANK LTD,507808002,SRCB0BCB808,607878,Yes,,Yes,SARASWAT BANK,Indirect
116,BDIX,THE BHANDARA DISTRICT CENTRAL COOPERATIVE BANK LTD,441822102,IBKL0596BDC,607847,Yes,,Yes,YES BANK,Indirect
117,BDNX,BHIND NAGRIK SAHAKARI BANK MYDT,477844001,HDFC0CBNSBM,990265,Yes,Yes,Yes,HDFC BANK LTD,Indirect
118,BDOX,BANDA DISTRICT COOPERATIVE BANK LIMITED BANDA,210828302,ICIC00BDCBL,607954,Yes,,Yes,ICICI BANK LTD,Indirect
119,BDUX,BANDA URBAN CO OPERATIVE BANK LTD,210827302,YESB0BUCB01,508713,Yes,Yes,Yes,YES BANK,Indirect
120,BEDX,THE BEED DISTRICT CENTRAL CO-OPERATIVE BANK LTD,431855302,UTIB0SBDCC1,990223,Yes,,Yes,AXIS BANK,Indirect
121,BELX,THE BELGAUM DISTRICT CENTRAL COOPERATIVE BANK LTD,590609002,IBKL0101BDC,607937,Yes,,Yes,IDBI BANK,Indirect
122,BERX,THE BERHAMPORE CO OP CENTRAL BANK LTD,760800002,NA,508759,Yes,,Yes,THE ODISHA STATE CO OP BANK LTD,Indirect
123,BGCX,BALAGERIA CENTRAL COOP BANK LTD,721811402,IBKL0752BCB,607756,Yes,Yes,Yes,IDBI BANK,Indirect
124,BGGX,BARODA GUJARAT GRAMIN BANK,392459001,BARB0BGGBXX,606995,Yes,Yes,Yes,BANK OF BARODA,Indirect
125,BGUX,THE BEGUSARAI CENTRAL COOPERATIVE BANK LTD,851820102,IBKL01077BD,607814,Yes,,Yes,IDBI BANK,Indirect
126,BGVX,BANGIYA GRAMIN VIKASH BANK,723830601,PUNB0RRBBGB,607063,Yes,Yes,Yes,PUNJAB NATIONAL BANK,Indirect
127,BHAX,THE BHAGYODAYA CO OPERATIVE BANK LTD,380134001,HDFC0CTBCBL,990034,Yes,Yes,Yes,HDFC BANK LTD,Indirect
128,BHBX,BHILAI NAGARIK SAHAKARI BANK MARYADIT,490534002,HDFC0CBNSAH,NA,Yes,,Yes,HDFC BANK LTD,Indirect
129,BHCX,THE BHUJ COMMERCIAL CO-OP BANK LTD,370805051,UTIB0BCCB01,607974,Yes,Yes,Yes,AXIS BANK,Indirect
130,BHDX,BHADOHI URBAN CO OPERATIVE BANK LTD GYANPUR,221803102,YESB0BHUC01,607682,Yes,Yes,Yes,YES BANK,Indirect
131,BHEX,BHEL EMPLOYEES COOPERATIVE BANK LTD,620538000,NA,NA,Yes,Yes,Yes,AXIS BANK,Indirect
132,BHGX,THE BHAGALPUR CENTRAL COOPERATIVE BANK LTD,812805002,IBKL0721BCC,607652,Yes,,Yes,IDBI BANK,Indirect
133,BHJX,THE BHUJ MERCENTILE COOP BANK LTD,370803051,FDRL01BMCOB,990242,Yes,Yes,Yes,HDFC BANK LTD,Indirect
134,BHMX,BRAHMADEODADA MANE SAHAKARI BANK LTD SOLAPUR,413593002,YESB0BMSB01,607627,Yes,Yes,Yes,YES BANK,Indirect
135,BHOX,BHOPAL CO OPERATIVE CENTRAL BANK LTD,462309018,CBIN0MPDCAE,607719,Yes,Yes,Yes,ICICI BANK LTD,Indirect
136,BHRX,THE BHARATPUR CENTRAL CO-OPERATIVE BANK LTD,321804001,RSCB0015001,508693,Yes,,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
137,BHSX,BHARATI SAHAKARI BANK LTD. PUNE,411355002,SVCB0010999,990091,Yes,Yes,Yes,YES BANK,Indirect
138,BHTX,THE BHATKAL URBAN COOPERATIVE BANK LTD,581220352,UTIB0SBUCB1,608124,Yes,Yes,Yes,AXIS BANK,Indirect
139,BHUX,BHILWARA URBAN CO-OPERATIVE BANK LTD,311623002,HDFC0CBHLUB,508635,Yes,Yes,Yes,HDFC BANK LTD,Indirect
140,BHWX,THE BHIWANI CENTRAL CO-OPERATIVE BANK LTD BHIWANI,127807002,UTIB0BHIW01,508653,Yes,,Yes,AXIS BANK,Indirect
141,BJUX,THE BIJNOR URBAN CO OPERATIVE BANK LTD,NA,HDFC0CBUCBL,990004,Yes,Yes,Yes,HDFC BANK LTD,Indirect
142,BKCX,THE BHAVASARA KSHATRIYA COOPERATIVE BANK LTD,560226264,BKID099BKCB,608034,Yes,Yes,Yes,ICICI BANK LTD,Indirect
143,BKDX,THE BANASKANTHA DIST CENTRAL COOP BANK LTD,385801001,GSCB0BKD001,607972,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
144,BKID,BANK OF INDIA,400013000,BKID000PIGW,508505,Yes,Yes,Yes,BANK OF INDIA,Direct
145,BKSX,BARAN KENDRIYA SAHAKARI BANK LTD BARAN,325811000,RSCB0039099,508789,Yes,,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
146,BLGX,SHREE BASAVESHWAR COOPERATIVE BANK LTD,590804002,IBKL0101SBC,NA,Yes,,Yes,IDBI BANK,Indirect
147,BMCB,BOMBAY MERCANTILE CO-OPERATIVE BANK LTD,400069002,UTIB0SBMCB1,508722,Yes,Yes,Yes,AXIS BANK,Indirect
148,BMCX,THE BARMER CENTRAL COOPERATIVE BANK LTD,344809004,RSCB0014099,508791,Yes,Yes,Yes,THE RAJASTHAN STATE CO OP BANK LTD,Indirect
149,BMPX,THE BANASKANTHA MERCANTILE CO-OPERATIVE BANK LTD.,385802001,HDFC0CTBMCB,607611,Yes,Yes,Yes,HDFC BANK LTD,Indirect
150,BMSX,THE BHAGYALAKSHMI MAHILA SAHAKARI BANK LTD,413879052,HDFC0CBLMSB,508636,Yes,Yes,Yes,HDFC BANK LTD,Indirect
151,BNBX,BETUL NAGRIK SAHAKARI BANK MYDT,460835001,UTIB0SBNSBM,NA,Yes,Yes,Yes,AXIS BANK,Indirect
152,BNCX,BHATPARA NAIHATI CO OPERATIVE BANK LTD,700093254,WBSC0BUCB01,990057,Yes,Yes,Yes,THE WEST BENGAL STATE CO OP BANK LTD,Indirect
153,BNKX,THE BANKI CENTRAL CO OP BANK LTD,753800007,YESB0BNKCCB,NA,Yes,,Yes,THE ODISHA STATE CO OP BANK LTD,Indirect
154,BNPA,BNP PARIBAS,400034002,BNPA0RTGSMI,NA,Yes,Yes,,BNP PARIBAS,Direct
155,BNSX,BHAGINI NIVEDITA SAHAKARI BANK LTD.,411272001,HDFC0CBNBNK,607155,Yes,Yes,Yes,HDFC BANK LTD,Indirect
156,BOCX,THE BOUDH CO OP CENTRAL BANK LTD,NA,ORCB0BOU001,NA,Yes,,Yes,THE ODISHA STATE CO OP BANK LTD,Indirect
157,BODX,THE BAGALKOT DISTRICT CENTRAL CO-OPERATIVE BANK,587895102,IBKL01071BD,508731,Yes,Yes,Yes,IDBI BANK,Indirect
158,BOFA,BANK OF AMERICA,400032002,BOFA0MM6205,NA,Yes,Yes,,BANK OF AMERICA,Direct
159,BORX,THE BORAL UNION CO OPERATIVE BANK LTD,700010251,HDFC0CTBUCB,990043,Yes,Yes,Yes,HDFC BANK LTD,Indirect
160,BOTM,THE BANK OF TOKYO MITSUBISHI UFJ,110033001,BOTM0003611,NA,Yes,Yes,,THE BANK OF TOKYO MITSUBISHI UFJ,Direct
161,BOTX,SHREE BOTAD MERCANTILE COOP BANK LTD,364802051,IBKL01606BM,990208,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
162,BPCX,THE BHADGAON PEOPLE'S CO-OP BANK LTD.,NA,HDFC0CBPCBL,607674,Yes,Yes,Yes,HDFC BANK LTD,Indirect
163,BPSX,BILAGI PATTANA SAHAKARI BANK NIYAMIT,587871501,IBKL01071BP,NA,Yes,,Yes,IDBI BANK,Indirect
164,BRCX,THE BHAVANA RISHI COOP. URBAN BANK LIMITED,500259256,YESB0BRCB01,607639,Yes,Yes,Yes,IDBI BANK,Indirect
165,BRDX,THE BARODA CENTRAL CO-OPERATIVE BANK LTD,390153004,GSCB0BRD001,607899,Yes,Yes,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
166,BRGX,BARODA RAJASTHAN KSHETRIYA GRAMIN BANK,345647004,BARB0BRGBXX,607280,Yes,Yes,Yes,BANK OF BARODA,Indirect
167,BRMX,BRAMHAPURI URBAN CO OPERATIVE BANK LTD,422813502,HDFC0CBUCBB,990016,Yes,Yes,Yes,HDFC BANK LTD,Indirect
168,BRSX,BARAN NAGRIK SAHKARI BANK LTD,325812002,HDFC0CBNB01,990325,Yes,,Yes,HDFC BANK LTD,Indirect
169,BRUX,THE BHARUCH DISTRICT CENTRAL COOP BANK LTD BHARUC,392801001,GSCB0BRC001,607864,Yes,,Yes,THE GUJARAT STATE CO OP BANK LTD,Indirect
170,BSBX,THE BARAMATI SAHAKARI BANK LTD,413606101,HDFC0CBSB01,607359,Yes,Yes,Yes,HDFC BANK LTD,Indirect
171,BSCX,THE BAIDYABATI SHEORAPHULI CO OPERATIVE BANK LTD,700093259,HDFC0CBDSCB,990058,Yes,Yes,Yes,HDFC BANK LTD,Indirect
172,BTCX,BALITIKURI CO-OPERATIVE BANK LTD,NA,HDFC0CBCBMN,508668,Yes,Yes,Yes,HDFC BANK LTD,Indirect
